FeatureUID,DsgAttr01,Country,FeatureNam,NameVar,FeatureTyp,Latitude,Longitude,LocConfid,DsgAttr02,DsgAttr03,DsgAttr04,DsgAttr05,DsgAttr06,DsgAttr07,DsgAttr08,OperateNam,OwnerName,Website,DsgAttr09,Label1,LocSource1,InfSource1,ADM1,DsgAttr10,geometry,index__africa,id,infra,name,iso3,Continent_Code,node_id,index__corridor,OBJECTID,Project_code,Project_name,Corridor_name,Infrastructure_development_type,Status,Region_or_province,Description,Launch_year,USD_amount__Million__Minimum,USD_amount__Million__Maximum,Amount_description,Distance__km__Minimum,Distance__km__Maximum,GIS_distance,Area__Km2_,Supplier_or_recipient_of_goods_or_services,Key_beneficiaries,Commodities_traded_or_transported,Name_of_donors_or_financiers,Amount_funded__USD_millions__per_donor_type,Type_of_major_donors_or_financiers,FeatureUID_left,Country_left,id_left,infra_left,name_left,iso3_left,Continent_Code_left,node_id_left,id_right,infra_right,name_right,iso3_right,Continent_Code_right,node_id_right,Country_right,FeatureUID_right,index_right,ISO_A3
DZp01,DZp01a,Algeria,Algiers,"Alger, El-Jazair",Oil and Gas Terminal,36.76488,3.06529,E,N,Oil and Gas Products,Hassi Messaoud Crude Oil,58.0,Thousand barrels per day,<Null>,Algiers (El Harrach) Refinery,Dubai Ports World (DP World),Entreprise Portuaire d'Alger,https://www.portalger.com.dz/,<Null>,DZp1,"NGA-WPI-Pub150, DZp001, Google Earth","NGA-WPI-Pub150, DZp001, DZp015, DZp016",Algiers,45570,POINT (3.065290000649326 36.76488000044941),156.0,port32,port,Alger_Algeria,DZA,AF,port32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,DZA
DZp02,DZp02a,Algeria,Annaba,<Null>,General Cargo Port,36.89805,7.772847,E,Y,Iron and Steel,Unspecified Steel Products,-999.0,NA,<Null>,"Arcelor-Mittal Steel Complex, El Hadjar",<Null>,Entreprise Portuaire de Annaba,http://www.annaba-port.com/,<Null>,DZp2,"NGA-WPI-Pub150, DZp002, Google Earth","NGA-WPI-Pub150, DZp002",Annaba,45490,POINT (7.77284700047062 36.89804999977225),157.0,port53,port,Annaba_Algeria,DZA,AF,port53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZp03,DZp03a,Algeria,Arzew,<Null>,Oil and Gas Terminal,35.859705,-0.300684,E,Y,Oil and Gas Products,Oil (Unspecified),-999.0,NA,<Null>,<Null>,<Null>,Entreprise Portuaire d'Arzew,http://www.arzewports.dz/index.php,<Null>,DZp3,"NGA-WPI-Pub150, DZp010, Google Earth","NGA-WPI-Pub150, DZp019",Oran,45630,POINT (-0.300684000649028 35.85970500030493),158.0,port70,port,Arzew El Djedid_Algeria,DZA,AF,port70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,DZA
DZp04,DZp04b,Algeria,Port of Bethioua,<Null>,Bulk Commodities Port,35.812267,-0.258678,E,Y,Fertilizer,Liquid Ammonia,-999.0,NA,<Null>,<Null>,<Null>,Entreprise Portuaire d'Arzew,http://www.arzewports.dz/index.php,<Null>,<Null>,"Google Earth, DZp020",DZp020,Oran,N/A,POINT (-0.2586780004767208 35.81226699937261),158.0,port70,port,Arzew El Djedid_Algeria,DZA,AF,port70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,DZA
DZp04,DZp04a,Algeria,Bejaia,<Null>,Oil and Gas Terminal,36.751575,5.08693,E,N,Oil and Gas Products,Oil (Unspecified),-999.0,NA,<Null>,<Null>,<Null>,Entreprise Portuaire de Bejaia,https://portdebejaia.dz/,<Null>,DZp4,"NGA-WPI-Pub150, DZp006, Google Earth","NGA-WPI-Pub150, DZp006, DZp007",Béjaïa,45550,POINT (5.086929999583959 36.75157499991788),159.0,port138,port,Bejaia_Algeria,DZA,AF,port138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,DZA
DZp05,DZp05a,Algeria,Mostaganem,<Null>,Bulk Commodities Port,35.934862,0.076635,E,Y,Iron and Steel,"Ferrous Products, Reinforcing Bars",85400.0,Metric tons,<Null>,<Null>,<Null>,Entreprise Portuaire de Mostaganem,http://www.port-mostaganem.dz/,"United States, Canada, Belgium",DZp5,"NGA-WPI-Pub150, DZp012, Google Earth","NGA-WPI-Pub150, DZp014",Mostaganem,45620,POINT (0.0766350001704837 35.93486200010814),162.0,port771,port,Mostaganem_Algeria,DZA,AF,port771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,DZA
DZp06,DZp06a,Algeria,Oran,Wahrān,Oil and Gas Terminal,35.711423,-0.636276,E,N,Oil and Gas Products,"Crude Oil, Refined Oil Products, Liquefied Petroleum Gas (LPG), Natural Gas Plant Liquids (NGPL)",-999.0,NA,<Null>,<Null>,Sonatrach,Entreprise Portuaire d'Oran,http://www.port-oran.dz/,<Null>,DZp6,"NGA-WPI-Pub150, DZp009, Google Earth","NGA-WPI-Pub150, DZp009, DZp016",Oran,45640,POINT (-0.6362760001567835 35.71142299917221),163.0,port856,port,Oran_Algeria,DZA,AF,port856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,DZA
DZp07,DZp07a,Algeria,Skikda,<Null>,Bulk Commodities Port,36.887674,6.90704,E,Y,Metallurgical Products,Unspecified,686000.0,Metric tons,<Null>,<Null>,<Null>,Skikda Port Enterprise,http://www.skikda-port.com/,<Null>,DZp7,"NGA-WPI-Pub150, Google Earth","NGA-WPI-Pub150, DZp017, DZp021",Skikda,45510,POINT (6.907040000225322 36.88767399984362),164.0,port969,port,Port Methanier_Algeria,DZA,AF,port969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,DZA
AGp02,AGp02a,Angola,Lobito,<Null>,Bulk Commodities Port,-12.347971,13.575202,E,Y,Copper,Unspecified,-999.0,NA,<Null>,Congo (Kinshasa),<Null>,"Empresa Portuaria Do Lobito, E.P.",<Null>,<Null>,AGp2,"NGA-WPI-Pub150, Google Earth","NGA-WPI-Pub150, AGp009",Benguela,46590,POINT (13.575201999838045 -12.34797100024764),228.0,port656,port,Lobito_Angola,AGO,AF,port656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,AGO
AGp03,AGp03a,Angola,Luanda,<Null>,Oil and Gas Terminal,-8.8,13.25,E,Y,Oil and Gas Products,"Crude Oil, Gas, Fuel Oil",435000.0,Metric tons,<Null>,<Null>,Sonangol EP,Empresa Portuaria de Luanda,https://www.portoluanda.co.ao/index.php,São Tomé and Principe,AGp3,"NGA-WPI-Pub150, Google Earth","NGA-WPI-Pub150, AGp001, AGp003, AGp004, AGp005, AGp006",Luanda,46560,POINT (13.250000000024492 -8.80000000017952),229.0,port665,port,Luanda_Angola,AGO,AF,port665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,AGO
