mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_approx_copper_export,id,iso3
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,ARE,Africa,0,Asia,0,5627.817,661.543,0.004117178063079706,41.14050808845263,port747_land,ARE
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,AUS,Africa,0,Oceania,0,3812.75,1083.634,0.00674410300344394,67.38980435424799,port955_land,AUS
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,BEL,Africa,0,Europe,0,2060.017,199.683,0.0012427468315286308,12.41802887586519,port57_land,BEL
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,BGR,Africa,0,Europe,0,7302.187,803.723,0.0050020493065342855,49.982499372490395,port1355_land,BGR
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,CHE,Africa,0,Europe,1,3400.459,360.0,0.002240495482090649,22.387936856474855,port1114_land,CHE
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,CHN,Africa,0,Asia,0,449269.681,58789.134999999995,0.3658799760097701,3656.0206728521553,port1195_land,CHN
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,DEU,Africa,0,Europe,0,7412.540000000001,912.553,0.005679363537967412,56.75049706162972,port446_land,DEU
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,ESP,Africa,0,Europe,0,10584.218,1470.463,0.009151571411337394,91.44620220495162,port635_land,ESP
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,GBR,Africa,0,Europe,0,223.893,22.344,0.00013906008625509295,1.3895446142252061,port493_land,GBR
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,IND,Africa,0,Asia,0,698217.646,78901.706,0.49105254395067965,4906.7955883226205,port1367_land,IND
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,ITA,Africa,0,Europe,0,61588.176,5530.358,0.034418728092621885,343.92584916027937,port1004_land,ITA
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,KAZ,Africa,0,Asia,1,37.138,3.713,2.31082214583405e-05,0.23090669318914206,port16_land,KAZ
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,KAZ,Africa,0,Asia,1,37.138,3.713,2.31082214583405e-05,0.23090669318914206,port100_land,KAZ
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,KHM,Africa,0,Asia,0,2580.372,2591.48,0.016128331199800765,161.16080723560407,port535_land,KHM
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,KOR,Africa,0,Asia,0,8021.058,2132.015,0.013268805486804152,132.58726999182565,port915_land,KOR
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,MYS,Africa,0,Asia,0,17364.456,1966.62,0.012239453402747534,122.30156772411273,port672_land,MYS
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,NLD,Africa,0,Europe,0,6347.76,693.7,0.004317310322017454,43.140310548157245,port1114_land,NLD
