mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_tons,mine_output_thousandUSD
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,ARE,Africa,0,Asia,0,5627.817,661.543,0.004117178063079706,41.14050808845263,349.9866989883215
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,AUS,Africa,0,Oceania,0,3812.75,1083.634,0.00674410300344394,67.38980435424799,237.1100173597903
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,BEL,Africa,0,Europe,0,2060.017,199.683,0.0012427468315286308,12.41802887586519,128.10980699795766
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,BFA,Africa,0,Africa,1,22.605,0.427,2.657476585701964e-06,0.026554580660318787,1.4057758684461503
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,BGR,Africa,0,Europe,0,7302.187,803.723,0.0050020493065342855,49.982499372490395,454.11361519492107
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,BWA,Africa,0,Africa,1,15.445,3.926,2.4433847951910803e-05,0.24415288916255637,0.9605046798562616
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,CHE,Africa,0,Europe,1,3400.459,360.0,0.002240495482090649,22.387936856474855,211.47017048619895
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,CHN,Africa,0,Asia,0,449269.681,58789.134999999995,0.3658799760097701,3656.0206728521553,27939.503471546115
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,COD,Africa,0,Africa,0,19.337,0.798,4.966431651967606e-06,0.049626593365185934,1.202543152760151
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,DEU,Africa,0,Europe,0,7412.540000000001,912.553,0.005679363537967412,56.75049706162972,460.976326294706
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,ESP,Africa,0,Europe,0,10584.218,1470.463,0.009151571411337394,91.44620220495162,658.2189007199016
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,GBR,Africa,0,Europe,0,223.893,22.344,0.00013906008625509295,1.3895446142252061,13.923617629463124
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,IND,Africa,0,Asia,0,698217.646,78901.706,0.49105254395067965,4906.7955883226205,43421.25714090142
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,ITA,Africa,0,Europe,0,61588.176,5530.358,0.034418728092621885,343.92584916027937,3830.0894316485
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,KAZ,Africa,0,Asia,1,37.138,3.713,2.31082214583405e-05,0.23090669318914206,2.309564441599342
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,KHM,Africa,0,Asia,0,2580.372,2591.48,0.016128331199800765,161.16080723560407,160.47001500615482
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,KOR,Africa,0,Asia,0,8021.058,2132.015,0.013268805486804152,132.58726999182565,498.81927785034026
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,MOZ,Africa,0,Africa,0,1.946,0.101,6.285834546976544e-07,0.006281060062511001,0.12101923645194464
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,MYS,Africa,0,Asia,0,17364.456,1966.62,0.012239453402747534,122.30156772411273,1079.873179097322
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,NAM,Africa,0,Africa,0,29.823,1.12,6.9704303887264645e-06,0.06965135910903289,1.8546540024184712
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,NLD,Africa,0,Europe,0,6347.76,693.7,0.004317310322017454,43.140310548157245,394.75902794460234
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,OMN,Africa,0,Asia,0,14167.797,1489.97,0.0092729751484739,92.65931743900511,881.0770684204275
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,RUS,Africa,0,Europe,0,4.159,0.122,7.592790244862755e-07,0.007587023045805367,0.25864285940577475
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,SGP,Africa,0,Asia,0,218.142,403.78,0.0025129646271071174,25.11055873307616,13.565970338180941
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,SWZ,Africa,0,Africa,1,0.685,0.1,6.223598561362914e-07,0.006218871349020794,0.042599268740792444
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,SYC,Africa,0,Africa,0,4.368,0.073,4.543226949794927e-07,0.004539776084785179,0.27164030052522825
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,THA,Africa,0,Asia,0,20629.653,2652.332,0.01650704961945682,164.94511482891016,1282.9315798194084
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,TZA,Africa,0,Africa,0,0.06,0.005,3.111799280681457e-08,0.00031094356745103966,0.003731322809412476
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,ZMB,Africa,0,Africa,1,0.893,0.028,1.742607597181616e-07,0.0017412839777258221,0.05553452114675568
mine_2157,ZAF,Copper,Nickel,Cobalt,Palladium,Platinum,,,,,,,,,,,1.0,9992.404374582467,ZAF,ZWE,Africa,0,Africa,1,7.422000000000001,3.292,2.048808646400671e-05,0.2047252448097645,0.4615646315243233
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,ARE,Africa,0,Asia,0,5627.817,661.543,0.004117178063079706,74.62197695274322,634.8171327763373
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,AUS,Africa,0,Oceania,0,3812.75,1083.634,0.00674410300344394,122.23379489044392,430.0777766926287
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,BEL,Africa,0,Europe,0,2060.017,199.683,0.0012427468315286308,22.524220230362385,232.36968888834016
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,BFA,Africa,0,Africa,1,22.605,0.427,2.657476585701964e-06,0.0481655525926831,2.5498414902988324
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,BGR,Africa,0,Europe,0,7302.187,803.723,0.0050020493065342855,90.65986516732796,823.6858828808124
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,BWA,Africa,0,Africa,1,15.445,3.926,2.4433847951910803e-05,0.4428523641191425,1.7421942852318277
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,CHE,Africa,0,Europe,1,3400.459,360.0,0.002240495482090649,40.60796003130191,383.57139766689124
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,CHN,Africa,0,Asia,0,449269.681,58789.134999999995,0.3658799760097701,6631.407900985589,50677.570137010436
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,COD,Africa,0,Africa,0,19.337,0.798,4.966431651967606e-06,0.09001431140271923,2.181211453125792
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,DEU,Africa,0,Europe,0,7412.540000000001,912.553,0.005679363537967412,102.93587708456847,836.133689028963
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,ESP,Africa,0,Europe,0,10584.218,1470.463,0.009151571411337394,165.8680631430786,1193.8986152960726
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,GBR,Africa,0,Europe,0,223.893,22.344,0.00013906008625509295,2.5204007192761386,25.25510554246744
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,IND,Africa,0,Asia,0,698217.646,78901.706,0.49105254395067965,8900.103676804261,78758.8729497714
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,ITA,Africa,0,Europe,0,61588.176,5530.358,0.034418728092621885,623.8237683966411,6947.1394150244105
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,KAZ,Africa,0,Asia,1,37.138,3.713,2.31082214583405e-05,0.41882598776728885,4.189162276784695
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,KHM,Africa,0,Asia,0,2580.372,2591.48,0.016128331199800765,292.31865628310635,291.06567511636274
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,KOR,Africa,0,Asia,0,8021.058,2132.015,0.013268805486804152,240.4910552948226,904.7744518687623
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,MOZ,Africa,0,Africa,0,1.946,0.101,6.285834546976544e-07,0.011392788786559704,0.219508583946982
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,MYS,Africa,0,Asia,0,17364.456,1966.62,0.012239453402747534,221.83451765766378,1958.708708925835
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,NAM,Africa,0,Africa,0,29.823,1.12,6.9704303887264645e-06,0.12633587565293927,3.3640310889264353
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,NLD,Africa,0,Europe,0,6347.76,693.7,0.004317310322017454,78.24928298253927,716.0266232452695
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,OMN,Africa,0,Asia,0,14167.797,1489.97,0.0092729751484739,168.06845057733028,1598.1259286322197
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,RUS,Africa,0,Europe,0,4.159,0.122,7.592790244862755e-07,0.013761586455052313,0.46913473825051283
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,SGP,Africa,0,Asia,0,218.142,403.78,0.0025129646271071174,45.546339170664126,24.606393380967397
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,SWZ,Africa,0,Africa,1,0.685,0.1,6.223598561362914e-07,0.011279988897583864,0.07726792394844947
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,SYC,Africa,0,Africa,0,4.368,0.073,4.543226949794927e-07,0.008234391895236219,0.49270991504646316
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,THA,Africa,0,Asia,0,20629.653,2652.332,0.01650704961945682,299.182755127064,2327.022568010076
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,TZA,Africa,0,Africa,0,0.06,0.005,3.111799280681457e-08,0.0005639994448791932,0.006767993338550318
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,ZMB,Africa,0,Africa,1,0.893,0.028,1.742607597181616e-07,0.003158396891323482,0.10073030085542391
mine_2261,ZAF,Platinum,Nickel,Palladium,Copper,,,,,,,,,,,,1.0,18124.5444839772,ZAF,ZWE,Africa,0,Africa,1,7.422000000000001,3.292,2.048808646400671e-05,0.37133723450846073,0.8372007759786743
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,ARE,Africa,0,Asia,0,5627.817,661.543,0.004117178063079706,238.21931986340007,2026.557212540501
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,AUS,Africa,0,Oceania,0,3812.75,1083.634,0.00674410300344394,390.212812259907,1372.9579359303607
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,BEL,Africa,0,Europe,0,2060.017,199.683,0.0012427468315286308,71.90514970044777,741.8049146420441
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,BFA,Africa,0,Africa,1,22.605,0.427,2.657476585701964e-06,0.1537612061221596,8.139981415436575
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,BGR,Africa,0,Europe,0,7302.187,803.723,0.0050020493065342855,289.41784044056317,2629.4919916851386
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,BWA,Africa,0,Africa,1,15.445,3.926,2.4433847951910803e-05,1.4137388647203715,5.56169046500411
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,CHE,Africa,0,Europe,1,3400.459,360.0,0.002240495482090649,129.63474052453736,1224.4933892481326
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,CHN,Africa,0,Asia,0,449269.681,58789.134999999995,0.3658799760097701,21169.761837186103,161780.4403388241
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,COD,Africa,0,Africa,0,19.337,0.798,4.966431651967606e-06,0.2873570081627245,6.963186048674942
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,DEU,Africa,0,Europe,0,7412.540000000001,912.553,0.005679363537967412,328.60714269413376,2669.229720910429
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,ESP,Africa,0,Europe,0,10584.218,1470.463,0.009151571411337394,529.5085818220355,3811.339872458716
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,GBR,Africa,0,Europe,0,223.893,22.344,0.00013906008625509295,8.045996228556286,80.62308600072289
