mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_tons,mine_output_thousandUSD,destination_id,mine_processed_quantity_tons_fraction
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,BWA,Africa,0,Africa,1,10.364,4.168,2.7658414185359853e-05,,,,
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,CIV,Africa,0,Africa,0,0.092,0.001,6.6358959177926704e-09,,,,
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,3.3733736829537824,2.6763190931399197,mine_3553,0.0069586113426095214
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,96.1362484509954,76.27120546187267,mine_3555,0.19831031239956143
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,12.422160626569585,9.855316602170404,mine_3559,0.025624492262023978
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,26.12120065920705,20.723665573498426,mine_3575,0.05388293746057183
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,23.188636324456823,18.39706951311743,mine_3664,0.04783362974650419
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,14.312094258947845,11.35472518849467,mine_3670,0.029523056384197083
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,48.84130307428315,38.749016336986806,mine_3692,0.10075007322134032
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,5.385896220785227,4.2729855166049,mine_3696,0.011110052444369923
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,183.66697758806666,145.71508676377468,mine_3702,0.3788691184630434
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,0.7392227070617917,0.5864739666966675,mine_3704,0.0015248721302558333
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,70.58973581880649,56.00347767762052,mine_3749,0.14561284414552253
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,MOZ,Africa,0,Africa,0,43084.824,33491.38,0.22224531182324306,,,,
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,NAM,Africa,0,Africa,0,3.123,2.895,1.9210918682009782e-05,0.34347771198936833,0.3705288064051114,mine_3502,1.0
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,SWZ,Africa,0,Africa,1,0.574,1.0,6.63589591779267e-06,,,,
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,TZA,Africa,0,Africa,0,0.001,0.0012492032477519,8.28958273225018e-09,,,,
mine_1687,ZAF,Zinc,Copper,Silver,,,,,,,,,,,,,0.0,17879.2965435339,ZAF,ZWE,Africa,0,Africa,1,0.143,0.011,7.299485509571937e-08,,,,
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,BWA,Africa,0,Africa,1,10.364,4.168,2.7658414185359853e-05,,,,
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,CIV,Africa,0,Africa,0,0.092,0.001,6.6358959177926704e-09,,,,
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,1.101431805947228,0.8738382548437447,mine_3553,0.0069586113426095214
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,31.389206088681636,24.90312057574484,mine_3555,0.19831031239956143
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,4.055928604004747,3.2178347801081624,mine_3559,0.025624492262023978
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,8.528767909989806,6.766432225936558,mine_3575,0.05388293746057183
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,7.571263662060737,6.0067811640206115,mine_3664,0.04783362974650419
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,4.673006108447741,3.7074029282896706,mine_3670,0.029523056384197083
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,15.947051736888948,12.651844430515393,mine_3692,0.10075007322134032
mine_1701,ZAF,Silver,Copper,Phosphate,Lanthanides,,,,,,,,,,,,0.0,5837.724406436706,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,1.7585355073706188,1.3951618162324309,mine_3696,0.011110052444369923
